id;mssv;birth_day;gender;cmnd;phone_number;graduation_status
1;bluetooth invoice;2020-12-05;MALE;Idaho wir;pixel Tast;GRADUATED
2;invoice lime Moldova;2020-12-05;FEMALE;Automotiv;deliver Aw;GRADUATED
3;Mouse groupware SSL;2020-12-05;MALE;Licensed ;Practical ;GRADUATED
4;North Carolina withd;2020-12-05;MALE;National ;Fresh;GRADUATED
5;Handmade Fresh Bike ;2020-12-05;FEMALE;models Ra;programmin;GRADUATED
6;Handmade Cotton Fish;2020-12-05;FEMALE;Meadow Gu;Divide;GRADUATED
7;Horizontal;2020-12-06;MALE;regional ;Grocery Eu;PENDING
8;Web USBX;2020-12-05;FEMALE;quantify;Markets pr;GRADUATED
9;stable Forward Cliff;2020-12-05;MALE;Quality B;extranet M;PENDING
10;Chicken Track;2020-12-05;MALE;algorithm;Fantastic ;GRADUATED
